439,Hannibal,845,smb://GLASSES/Movies/Hannibal (2001)/
453,Haunter,857,smb://GLASSES/Movies/Haunt (2013)/
454,He Never Died,858,smb://GLASSES/Movies/He.Never.Died.2015.BRRip.XviD.AC3-EVO/
457,Hellboy II: The Golden Army,861,smb://GLASSES/Movies/Hellboy The Golden Army (2008)/
459,Hellraiser,863,smb://GLASSES/Movies/HELLRAISER/
460,Hellbound: Hellraiser II,863,smb://GLASSES/Movies/HELLRAISER/
461,Hellraiser III: Hell on Earth,863,smb://GLASSES/Movies/HELLRAISER/
462,Hellraiser: Bloodline,863,smb://GLASSES/Movies/HELLRAISER/
463,Hellraiser: Inferno,863,smb://GLASSES/Movies/HELLRAISER/
464,Hellraiser: Hellseeker,863,smb://GLASSES/Movies/HELLRAISER/
465,Hellraiser: Deader,863,smb://GLASSES/Movies/HELLRAISER/
466,Hellraiser: Hellworld,863,smb://GLASSES/Movies/HELLRAISER/
469,Henry: Portrait of a Serial Killer,866,smb://GLASSES/Movies/Henry Portrait of a Serial Killer (1986) 720p.BRrip.Sujaidr/
471,Hereditary,868,smb://GLASSES/Movies/Hereditary.2018.WEB-DL.x264-FGT/
488,Hush,885,smb://GLASSES/Movies/Hush.2016.HDRip.XviD.AC3-EVO/
489,I Am Legend,886,smb://GLASSES/Movies/I am Legend (2007)/
491,Day of the Woman,888,smb://GLASSES/Movies/I Spit On Your Grave/
492,"I, Frankenstein",889,"smb://GLASSES/Movies/I, Frankenstein (2014)/"
495,Ichi the Killer,892,smb://GLASSES/Movies/Ichi.the.Killer.2001.REMASTERED.JAPANESE.1080p.BluRay.H264.AAC-VXT/
496,Ilsa: She Wolf of the SS,893,smb://GLASSES/Movies/Ilsa-She Wolf Of The SS/
500,In the Mouth of Madness,897,smb://GLASSES/Movies/In the Mouth of Madness (1994) [1080p]/
507,Infection,904,smb://GLASSES/Movies/Infection.2004.DVDRip.DivX.[Eng Hard Subs]-iNCiTE/
513,Insidious,910,smb://GLASSES/Movies/Insidious (2010)/
514,Insidious: Chapter 2,911,smb://GLASSES/Movies/Insidious Chapter 2 (2013)/
518,Interview with the Vampire,915,smb://GLASSES/Movies/Interview with the Vampire (1994) [1080p]/
520,Intruders,917,smb://GLASSES/Movies/Intruders (2011) [1080p]/
521,Invasion of the Body Snatchers,918,smb://GLASSES/Movies/Invasion of the Body Snatchers (1978) - 720p/
526,It Follows,923,smb://GLASSES/Movies/It Follows (2014)/
528,It,925,smb://GLASSES/Movies/IT.2017.1080p.WEBRip.x264.AAC2.0-SHITBOX/
529,It Chapter Two,926,smb://GLASSES/Movies/It.Chapter.Two.2019.1080p.WEB-DL.DD5.1.H264-FGT/
530,It Comes at Night,927,smb://GLASSES/Movies/It.Comes.at.Night.2017.WEB-DL.x264-FGT/
533,Jason X,930,smb://GLASSES/Movies/Jason X (2001)/
536,Jesus Christ Vampire Hunter,933,smb://GLASSES/Movies/Jesus Christ Vampire Hunter (2001)/
544,The Ward,941,smb://GLASSES/Movies/John Carpenter's The Ward (2010)/
563,Pulse,960,smb://GLASSES/Movies/Kairo (2001)/
576,Krampus,973,smb://GLASSES/Movies/Krampus.2015.HDRip.XviD.AC3-EVO/
581,Kuso,978,smb://GLASSES/Movies/Kuso.2017.HDRip.x264.AC3-Manning/
582,Kwaidan,979,smb://GLASSES/Movies/Kwaidan (1964)/
584,The Dark Hour,981,smb://GLASSES/Movies/La Hora Fria/
585,Lake Mungo,982,smb://GLASSES/Movies/Lake.Mungo.2008.1080p.BluRay.H264.AAC-RARBG/
593,Let Me In,990,smb://GLASSES/Movies/Let Me In/
596,Life,993,smb://GLASSES/Movies/Life.2017.HDRip.XviD.AC3-EVO/
597,Lifeforce,994,smb://GLASSES/Movies/Lifeforce.1985.1080p.Bluray.x264.AC3-ETRG/
598,Lights Out,995,smb://GLASSES/Movies/Lights.Out.2016.720p.WEBRip.x264.AAC-ETRG/
605,Little Evil,1002,smb://GLASSES/Movies/Little.Evil.2017.HDRip.XviD.AC3-EVO/
634,Mama,1030,smb://GLASSES/Movies/Mama (2013)/
636,Mandy,1032,smb://GLASSES/Movies/Mandy.2018.720p.BluRay.H264.AAC-RARBG/
651,Midsommar,1047,smb://GLASSES/Movies/Midsommar.2019.1080p.BluRay.H264.AAC-RARBG/
653,Mimic,1049,smb://GLASSES/Movies/Mimic.1997.The.Directors.Cut.1080p.BluRay.x264-Japhson[et]/
683,Necromancer,1078,smb://GLASSES/Movies/Necromancer/
686,Night of the Living Dead,1081,smb://GLASSES/Movies/Night of the Living Dead (1968)/
702,Oculus,1097,smb://GLASSES/Movies/Oculus (2013)/
709,The Orphanage,1104,smb://GLASSES/Movies/Orphanage/
711,Overlord,1106,smb://GLASSES/Movies/Overlord.2018.1080p.WEB-DL.DD5.1.H264-FGT/
716,Pandemic,1111,smb://GLASSES/Movies/Pandemic.2016.HDRip.XviD.AC3-EVO/
717,Pandorum,1112,smb://GLASSES/Movies/Pandorum (2009)/
719,Paranormal Activity 2,1114,smb://GLASSES/Movies/Paranormal Activity 2/
720,Paranormal Activity 3,1115,smb://GLASSES/Movies/Paranormal Activity 3 (2011)/
721,Paranormal Activity 4,1116,smb://GLASSES/Movies/Paranormal Activity 4 (2012)/
722,Paranormal Activity: The Ghost Dimension,1117,smb://GLASSES/Movies/Paranormal Activity The Ghost Dimension (2015)/
723,Paranormal Activity: The Marked Ones,1118,smb://GLASSES/Movies/Paranormal Activity The Marked Ones (2014)/
726,Pathology,1121,smb://GLASSES/Movies/Pathology ((2008))/
730,Phantasm,1125,smb://GLASSES/Movies/Phantasm.1979.1080p.WEB-DL.DD5.1.H264-FGT[SN]/
731,Phantoms,1126,smb://GLASSES/Movies/Phantoms.1998.DvDRip.XviD-FileHunter/
732,Phenomena,1127,smb://GLASSES/Movies/Phenomena/
741,Planet Terror,1136,smb://GLASSES/Movies/Planet Terror (2007)/
742,Planet of the Vampires,1137,smb://GLASSES/Movies/Planet.of.the.Vampires.1965.1080p.BluRay.H264.AAC-RARBG/
747,Poltergeist,1142,smb://GLASSES/Movies/Poltergeist (2015)/
756,Priest,1151,smb://GLASSES/Movies/Priest (2011)/
760,Prince of Darkness,1155,smb://GLASSES/Movies/Prince.of.Darkness.1987.720p.WEB-DL.H264-CtrlHD [PublicHD]/
765,Psycho,1160,smb://GLASSES/Movies/Psycho (1998)/
768,Pulse,1163,smb://GLASSES/Movies/Pulse Unrated 2006 1080p HDDVDRip H264 AAC - IceBane (Kingdom Release)/
778,Ravenous,1173,smb://GLASSES/Movies/Ravenous (1999) [1080p]/
782,[REC],1177,smb://GLASSES/Movies/REC (2007)/
783,[REC]²,1178,smb://GLASSES/Movies/Rec 2 (2009)/
784,[REC]²,1178,smb://GLASSES/Movies/Rec 2 (2009)/
785,[REC]³ Genesis,1179,smb://GLASSES/Movies/Rec 3 Genesis (2012)/
792,Red State,1185,smb://GLASSES/Movies/Red State (2011)/
796,Resident Evil,1189,smb://GLASSES/Movies/Resident Evil (2002)/
797,Resident Evil: Afterlife,1190,smb://GLASSES/Movies/Resident Evil Afterlife/
798,Resident Evil: Apocalypse,1191,smb://GLASSES/Movies/Resident Evil Apocalypse (2004)/
799,Resident Evil: Damnation,1192,smb://GLASSES/Movies/Resident Evil Damnation/
800,Resident Evil: Retribution,1193,smb://GLASSES/Movies/Resident Evil Retribution/
801,Resident Evil: The Final Chapter,1194,smb://GLASSES/Movies/Resident Evil The Final Chapter (2016)/
805,Riki-Oh: The Story of Ricky,1198,smb://GLASSES/Movies/Riki-Oh The Story Of Ricky (1991)/
806,Rings,1199,smb://GLASSES/Movies/Rings.2017.BRRip.XViD-ETRG/
816,Rosemary's Baby,1209,smb://GLASSES/Movies/Rosemarys Baby (1968)/
825,Santa Sangre,1218,smb://GLASSES/Movies/Santa Sangre/
833,Screamers,1226,smb://GLASSES/Movies/Screamers 1995/
839,Session 9,1231,smb://GLASSES/Movies/Session 9 (2001)/
